start;
insert Intervall(5,12);
commit dump_changes;

start;
insert Timestamp(0, 2);
insert P(0, 0);
insert P(0, 83);
insert Timestamp(1, 3);
insert P(1, 38);
insert P(1, 17);
insert Timestamp(2, 7);
insert P(2, 85);
insert P(2, 83);
insert Timestamp(3, 29);
insert P(3, 82);
insert P(3, 88);
insert Timestamp(4, 36);
insert P(4, 12);
insert P(4, 12);
insert Timestamp(5, 59);
insert P(5, 52);
insert P(5, 98);
insert Timestamp(6, 83);
insert P(6, 39);
insert P(6, 85);
insert Timestamp(7, 92);
insert P(7, 68);
insert P(7, 21);
insert Timestamp(8, 94);
insert P(8, 38);
insert P(8, 73);
insert Timestamp(9, 99);
insert P(9, 41);
insert P(9, 1);
insert Timestamp(10, 122);
insert P(10, 93);
insert P(10, 27);
insert Timestamp(11, 146);
insert P(11, 87);
insert P(11, 23);
insert Timestamp(12, 166);
insert P(12, 3);
insert P(12, 70);
insert Timestamp(13, 176);
insert P(13, 93);
insert P(13, 65);
insert Timestamp(14, 180);
insert P(14, 22);
insert P(14, 37);
insert Timestamp(15, 192);
insert P(15, 82);
insert P(15, 38);
insert Timestamp(16, 193);
insert P(16, 70);
insert P(16, 39);
insert Timestamp(17, 202);
insert P(17, 4);
insert P(17, 1);
insert Timestamp(18, 226);
insert P(18, 62);
insert P(18, 7);
insert Timestamp(19, 250);
insert P(19, 18);
insert P(19, 27);
insert Timestamp(20, 250);
insert P(20, 91);
insert P(20, 46);
insert Timestamp(21, 273);
insert P(21, 37);
insert P(21, 7);
insert Timestamp(22, 285);
insert P(22, 37);
insert P(22, 52);
insert Timestamp(23, 300);
insert P(23, 57);
insert P(23, 78);
insert Timestamp(24, 321);
insert P(24, 32);
insert P(24, 16);
insert Timestamp(25, 326);
insert P(25, 69);
insert P(25, 15);
insert Timestamp(26, 331);
insert P(26, 11);
insert P(26, 80);
insert Timestamp(27, 331);
insert P(27, 31);
insert P(27, 94);
insert Timestamp(28, 335);
insert P(28, 81);
insert P(28, 61);
insert Timestamp(29, 358);
